,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_PERF,OPP_PERF,TEAM_WIN_PCT,OPP_WIN-PCT,WIN
1634,114.0,0.4479999999999999,0.75,0.441,23.0,50.0,98.0,0.424,0.667,0.286,21.0,46.0,1,114.4,102.4,0.833,0.667,1
1635,104.0,0.439,0.833,0.368,26.0,37.0,109.0,0.494,0.625,0.3329999999999999,31.0,44.0,0,115.6,105.4,0.833,0.1669999999999999,1
1636,87.0,0.41,0.833,0.381,17.0,53.0,79.0,0.3779999999999999,0.8,0.25,24.0,37.0,1,118.6,103.4,0.833,0.588,0
1637,112.0,0.441,0.955,0.31,25.0,46.0,130.0,0.505,0.857,0.579,35.0,42.0,0,117.7,108.2,0.833,0.6970000000000001,1
1638,121.0,0.505,0.917,0.486,32.0,54.0,85.0,0.396,0.6,0.368,29.0,38.0,1,118.6,99.1,0.833,0.147,1
1639,125.0,0.58,0.826,0.48,30.0,46.0,107.0,0.376,0.882,0.28,18.0,40.0,1,117.9,103.1,0.833,0.5,1
1640,123.0,0.5,0.848,0.3329999999999999,28.0,42.0,116.0,0.489,0.75,0.379,29.0,47.0,1,115.8,100.2,0.833,0.529,1
1641,128.0,0.449,0.769,0.45,23.0,56.0,112.0,0.43,0.826,0.528,20.0,39.0,1,114.5,107.7,0.833,0.7879999999999999,1
1642,115.0,0.5710000000000001,0.6,0.433,36.0,39.0,94.0,0.405,0.71,0.4,21.0,42.0,1,113.5,98.0,0.833,0.344,1
1643,119.0,0.5,0.7040000000000001,0.457,27.0,50.0,113.0,0.444,0.8240000000000001,0.238,24.0,42.0,1,112.8,106.5,0.833,0.371,1
1644,112.0,0.471,0.955,0.36,23.0,41.0,95.0,0.402,0.81,0.133,32.0,49.0,1,115.6,103.2,0.833,0.313,0
1645,121.0,0.54,0.762,0.324,33.0,40.0,106.0,0.465,0.815,0.2,22.0,46.0,1,115.1,112.3,0.833,0.485,1
1646,109.0,0.3979999999999999,0.882,0.3329999999999999,28.0,51.0,105.0,0.4629999999999999,0.792,0.364,25.0,42.0,1,117.6,104.5,0.833,0.742,1
1647,118.0,0.479,0.654,0.346,23.0,62.0,121.0,0.474,0.68,0.4379999999999999,25.0,32.0,0,117.1,112.3,0.833,0.485,1
1648,114.0,0.456,0.7859999999999999,0.385,23.0,37.0,130.0,0.602,0.688,0.52,35.0,42.0,0,114.9,106.3,0.833,0.371,1
1649,112.0,0.465,0.8390000000000001,0.429,19.0,46.0,118.0,0.467,0.84,0.4639999999999999,23.0,43.0,0,115.8,102.9,0.833,0.424,1
1650,92.0,0.419,0.625,0.294,23.0,47.0,102.0,0.4379999999999999,0.833,0.311,30.0,43.0,0,117.6,105.4,0.833,0.742,1
1651,112.0,0.447,0.833,0.361,24.0,49.0,115.0,0.512,0.769,0.355,32.0,39.0,0,118.3,104.7,0.833,0.667,1
1652,137.0,0.536,0.696,0.5670000000000001,28.0,48.0,105.0,0.391,0.75,0.353,25.0,47.0,1,120.3,107.0,0.833,0.7879999999999999,0
1653,104.0,0.441,0.727,0.286,21.0,50.0,112.0,0.416,0.828,0.35,24.0,50.0,0,122.3,94.2,0.833,0.529,1
1654,123.0,0.4679999999999999,0.885,0.353,28.0,49.0,110.0,0.425,0.657,0.3939999999999999,24.0,43.0,1,119.5,107.7,0.833,0.71,1
1655,116.0,0.495,0.65,0.2689999999999999,24.0,46.0,108.0,0.424,0.784,0.318,22.0,50.0,1,119.5,113.4,0.833,0.485,1
1656,121.0,0.505,0.7,0.348,26.0,38.0,134.0,0.527,0.552,0.488,35.0,49.0,0,117.1,105.9,0.833,0.71,1
1657,95.0,0.3670000000000001,0.885,0.3329999999999999,19.0,41.0,116.0,0.575,0.696,0.552,31.0,44.0,0,116.6,104.5,0.833,0.147,1
1658,105.0,0.457,0.524,0.345,23.0,40.0,108.0,0.495,0.5,0.433,37.0,57.0,0,118.6,101.4,0.833,0.133,1
1659,127.0,0.58,0.905,0.483,33.0,40.0,107.0,0.506,0.667,0.355,20.0,34.0,1,118.7,98.1,0.833,0.6970000000000001,1
1660,120.0,0.518,0.84,0.423,31.0,45.0,90.0,0.419,0.742,0.357,21.0,38.0,1,117.6,111.8,0.833,0.588,1
1661,122.0,0.478,0.88,0.424,31.0,50.0,110.0,0.4629999999999999,0.7040000000000001,0.176,22.0,44.0,1,116.5,102.0,0.833,0.364,1
1662,94.0,0.37,0.792,0.05,14.0,49.0,125.0,0.526,0.65,0.375,38.0,55.0,0,115.1,105.0,0.833,0.688,1
1663,98.0,0.481,0.68,0.368,22.0,36.0,132.0,0.541,0.778,0.475,33.0,37.0,0,113.3,105.7,0.833,0.563,1
1664,113.0,0.465,0.55,0.348,22.0,57.0,95.0,0.362,0.7390000000000001,0.4,18.0,47.0,1,112.9,100.3,0.833,0.258,0
1665,116.0,0.5,0.85,0.3939999999999999,26.0,47.0,98.0,0.444,0.583,0.174,17.0,47.0,1,113.5,98.1,0.833,0.313,1
1666,112.0,0.425,0.892,0.2269999999999999,22.0,49.0,110.0,0.477,0.8,0.385,25.0,39.0,1,111.4,96.3,0.833,0.406,0
1667,111.0,0.477,0.733,0.304,25.0,49.0,103.0,0.451,0.875,0.368,31.0,47.0,1,110.6,97.9,0.833,0.424,1
